[1772126871789] ID:0x1a0 DLC:8 DATA:00 01 00 00 00 00 00 00 
[1772126873799] ID:0x500 DLC:8 DATA:00 01 00 00 00 00 00 00 
[1772126873799] ID:0x300 DLC:8 DATA:00 01 00 00 00 00 00 00 
[1772126873800] ID:0x410 DLC:8 DATA:00 01 00 00 00 00 00 00 
[1772126873800] ID:0x610 DLC:8 DATA:00 01 00 00 00 00 00 00 
[1772126873800] ID:0x191 DLC:64 DATA:01 00 03 20 50 e5 c9 2b 42 17 fe 93 63 96 08 39 7c a9 59 f8 93 75 9d 6b c8 f8 22 bf 23 97 36 4d 6c 4a 00 b5 b3 b0 35 c4 4e 23 18 f7 5a 27 0b 62 18 d9 66 40 ed 35 23 4d 2a 12 cf 09 9a 73 a8 50 
[1772126873800] ID:0x191 DLC:64 DATA:02 01 8c 26 5f c6 70 22 06 b9 3b 36 49 40 0e f0 82 88 eb a1 72 f5 cd 43 47 07 47 c1 25 60 3c 4d a0 c5 7a 3a 05 36 63 08 b6 b9 48 77 ac 87 48 a4 68 46 59 33 51 fe 22 87 82 cc 2d 0c 55 2f a3 a6 
[1772126873800] ID:0x191 DLC:64 DATA:02 02 a1 9d 2a 5e cb b4 01 8b e5 03 26 c7 bb 23 28 75 1a 29 b0 b3 88 85 d0 ac 72 1c 24 91 22 6b 98 62 ea 81 14 15 4b 00 9b 38 bd 2c 62 2e f9 89 02 7b aa 6c 0a 44 6c e7 00 50 b6 b4 db b3 bd b4 
[1772126873800] ID:0x191 DLC:64 DATA:02 03 53 0c 20 e1 ca 7a fb 36 fa 51 a2 de fb 7f 08 91 97 c6 26 97 8b f8 b1 ea 1b 5a 72 e1 b0 1f 66 9e 29 f8 8e 95 cc 8a 4b c3 39 eb 27 c2 75 cc 18 62 c2 71 0e 4a 59 a0 00 2b e6 24 b2 09 78 31 
[1772126873800] ID:0x191 DLC:64 DATA:02 04 72 01 8d 3b 52 3f 02 b8 48 d2 f2 16 12 48 61 91 c8 ab b8 e7 13 6c cc 19 f6 0b 36 3e c2 8c b0 88 52 d8 db 87 dc 0a 32 00 ea b8 66 b1 9b 8a 82 84 c8 33 30 96 51 57 fe e3 ca 31 97 31 fe a1 
[1772126873800] ID:0x191 DLC:64 DATA:02 05 4e f3 fa 45 64 93 00 8e 61 a4 8a 92 06 dd 1a 89 48 84 3d ef 89 80 96 b7 02 45 a4 82 77 f3 0f d0 42 8a ea 12 4d 1a 67 0f 5f ba bd 7f 80 19 a4 30 46 26 18 98 9a 82 43 8e d7 5c f2 73 b1 fe 
[1772126873800] ID:0x191 DLC:64 DATA:02 06 5c 65 b0 a9 b1 a9 a9 bd 24 62 8c 11 87 c1 02 9a a3 c2 ec 49 3d f6 55 ad 95 59 3a 7b 41 45 09 09 4b 01 26 cd cb 67 c3 ba 7f a8 f6 19 ff 7b 55 de f4 73 98 92 56 1e 62 1a 09 57 b3 21 40 13 
[1772126873800] ID:0x191 DLC:64 DATA:02 07 12 1a 1a b7 87 23 0e 6c 1f 9f 0c 79 3e 58 18 3f 96 3d 08 e7 cd 91 a6 0e f0 b1 41 67 a3 52 b9 18 c3 1c a1 ad fe da 53 81 10 88 e4 e9 2f 67 e6 48 05 57 05 19 f2 79 fa 2a 0d 8c cc 25 b2 69 
[1772126873800] ID:0x191 DLC:64 DATA:02 08 5c 99 c9 ad 08 e7 44 04 a4 cf 3a 13 17 f9 8a 94 b6 cb a9 d2 c5 1b 7b 6b 96 ed 58 3a 8f d0 20 f8 92 07 34 51 51 1f c2 24 5e 5a 6a 12 37 6c 0e eb 75 1e 41 c7 81 b2 c3 3c 27 a4 33 b1 42 9e 
[1772126873801] ID:0x191 DLC:64 DATA:02 09 21 1a 81 95 b6 2f 31 8e ec 52 21 95 d2 7e 96 da 4e c2 3b bb de ca 45 d7 7b 9e 42 9b ac 39 1c 90 8b 86 cc 5f 41 c9 ae c9 3e 16 2a c5 db 91 9a 07 c7 c6 08 c5 b4 b3 9c 98 81 a1 31 d2 03 81 
[1772126873801] ID:0x191 DLC:64 DATA:02 0a 90 e7 35 f9 71 92 0e d4 1e c4 cc 18 57 e2 45 64 ba a2 7a 61 2e c1 cc 66 17 56 87 82 ea ca ca 3a 73 71 ba 2c d3 f2 83 5b a4 4e 1e 80 01 8a bb 8e f1 7a 76 4a 89 1a 10 e4 88 e8 94 06 be 11 
